grp,vcov,sdcor,Percent,Rmse,Heritability,R_squared,Env.DAP,Vegetation.Index,DAP,Year,Env
Pedigree,0.000105444083558975,0.0102685969615608,17.15,0.0155443790242071,0.395,0.475244105078259,TXH1.2020.19,BCC_mean,19,2020,TXH1.2020
Pass,7.48805837261853e-05,0.00865335678948842,12.18,0.0155443790242071,0.395,0.475244105078259,TXH1.2020.19,BCC_mean,19,2020,TXH1.2020
Range,9.40778444764606e-05,0.00969937340638356,15.31,0.0155443790242071,0.395,0.475244105078259,TXH1.2020.19,BCC_mean,19,2020,TXH1.2020
Replicate,1.77099569736679e-05,0.00420831997044758,2.88,0.0155443790242071,0.395,0.475244105078259,TXH1.2020.19,BCC_mean,19,2020,TXH1.2020
Residual,0.000322545273704644,0.0179595454760037,52.48,0.0155443790242071,0.395,0.475244105078259,TXH1.2020.19,BCC_mean,19,2020,TXH1.2020
Pedigree,9.92652327768848e-06,0.00315063855078435,27.19,0.00326525396442178,0.558,0.568583590975528,TXH1.2020.19,BCC_median,19,2020,TXH1.2020
Pass,4.34303715681005e-06,0.0020839954790762,11.9,0.00326525396442178,0.558,0.568583590975528,TXH1.2020.19,BCC_median,19,2020,TXH1.2020
Range,6.48585930142474e-06,0.00254673502772172,17.77,0.00326525396442178,0.558,0.568583590975528,TXH1.2020.19,BCC_median,19,2020,TXH1.2020
Replicate,0,0,0,0.00326525396442178,0.558,0.568583590975528,TXH1.2020.19,BCC_median,19,2020,TXH1.2020
Residual,1.57483064801514e-05,0.0039684135974154,43.14,0.00326525396442178,0.558,0.568583590975528,TXH1.2020.19,BCC_median,19,2020,TXH1.2020
Pedigree,5.83258020003212e-06,0.00241507353925965,1.44,0.0170964157928445,0.035,0.213321284861643,TXH1.2020.19,BGI_mean,19,2020,TXH1.2020
Pass,4.15634722310487e-05,0.0064469738816788,10.27,0.0170964157928445,0.035,0.213321284861643,TXH1.2020.19,BGI_mean,19,2020,TXH1.2020
Range,3.89332678508099e-05,0.00623965286300527,9.62,0.0170964157928445,0.035,0.213321284861643,TXH1.2020.19,BGI_mean,19,2020,TXH1.2020
Replicate,0,0,0,0.0170964157928445,0.035,0.213321284861643,TXH1.2020.19,BGI_mean,19,2020,TXH1.2020
Residual,0.00031836222438925,0.0178427078771483,78.67,0.0170964157928445,0.035,0.213321284861643,TXH1.2020.19,BGI_mean,19,2020,TXH1.2020
Pedigree,0.00305010449741149,0.0552277511529438,8.97,0.153094816577103,0.185,0.210453804922632,TXH1.2020.19,BGI_median,19,2020,TXH1.2020
Pass,0.000782709271072628,0.0279769417748372,2.3,0.153094816577103,0.185,0.210453804922632,TXH1.2020.19,BGI_median,19,2020,TXH1.2020
